1, 0
2, 1
3, 2
4, 4
5, 6
6, 9
7, 12
8, 16
9, 20
10, 25
11, 30
12, 36
13, 42
14, 49
15, 56
16, 64
17, 72
18, 81
19, 90
20, 100
21, 110
22, 121
23, 132
24, 144
25, 156
26, 169
27, 182
28, 196
29, 210
30, 225
31, 240
32, 256
33, 272
34, 289
35, 306
36, 324
37, 342
38, 361
39, 380
40, 400
41, 420
42, 441
43, 462
44, 484
45, 506
46, 529
47, 552
48, 576
49, 600
50, 625
51, 650
52, 676
53, 702
54, 729
55, 756
56, 784
57, 812
58, 841
59, 870
60, 900
61, 930
62, 961
63, 992
64, 1024
65, 1056
66, 1089
67, 1122
68, 1156
69, 1190
70, 1225
71, 1260
72, 1296
73, 1332
74, 1369
75, 1406
76, 1444
77, 1482
78, 1521
79, 1560
80, 1600
81, 1640
82, 1681
83, 1722
84, 1764
85, 1806
86, 1849
87, 1892
88, 1936
89, 1980
90, 2025
91, 2070
92, 2116
93, 2162
94, 2209
95, 2256
96, 2304
97, 2352
98, 2401
99, 2450
100, 2500
101, 2550
102, 2601
103, 2652
104, 2704
105, 2756
106, 2809
107, 2862
108, 2916
109, 2970
110, 3025
111, 3080
112, 3136
113, 3192
114, 3249
115, 3306
116, 3364
117, 3422
118, 3481
119, 3540
120, 3600
121, 3660
122, 3721
123, 3782
124, 3844
125, 3906
126, 3969
127, 4032
128, 4096
129, 4160
130, 4225
131, 4290
132, 4356
133, 4422
134, 4489
135, 4556
136, 4624
137, 4692
138, 4761
139, 4830
140, 4900
141, 4970
142, 5041
143, 5112
144, 5184
145, 5256
146, 5329
147, 5402
148, 5476
149, 5550
150, 5625
151, 5700
152, 5776
153, 5852
154, 5929
155, 6006
156, 6084
157, 6162
158, 6241
159, 6320
160, 6400
161, 6480
162, 6561
163, 6642
164, 6724
165, 6806
166, 6889
167, 6972
168, 7056
169, 7140
170, 7225
171, 7310
172, 7396
173, 7482
174, 7569
175, 7656
176, 7744
177, 7832
178, 7921
179, 8010
180, 8100
181, 8190
182, 8281
183, 8372
184, 8464
185, 8556
186, 8649
187, 8742
188, 8836
189, 8930
190, 9025
191, 9120
192, 9216
193, 9312
194, 9409
195, 9506
196, 9604
197, 9702
198, 9801
199, 9900
200, 10000
201, 10100
202, 10201
203, 10302
204, 10404
205, 10506
206, 10609
207, 10712
208, 10816
209, 10920
210, 11025
211, 11130
212, 11236
213, 11342
214, 11449
215, 11556
216, 11664
217, 11772
218, 11881
219, 11990
220, 12100
221, 12210
222, 12321
223, 12432
224, 12544
225, 12656
226, 12769
227, 12882
228, 12996
229, 13110
230, 13225
231, 13340
232, 13456
233, 13572
234, 13689
235, 13806
236, 13924
237, 14042
238, 14161
239, 14280
240, 14400
241, 14520
242, 14641
243, 14762
244, 14884
245, 15006
246, 15129
247, 15252
248, 15376
249, 15500
250, 15625
251, 15750
252, 15876
253, 16002
254, 16129
255, 16256
256, 16384
257, 16512
258, 16641
259, 16770
260, 16900
261, 17030
262, 17161
263, 17292
264, 17424
265, 17556
266, 17689
267, 17822
268, 17956
269, 18090
270, 18225
271, 18360
272, 18496
273, 18632
274, 18769
275, 18906
276, 19044
277, 19182
278, 19321
279, 19460
280, 19600
281, 19740
282, 19881
283, 20022
284, 20164
285, 20306
286, 20449
287, 20592
288, 20736
289, 20880
290, 21025
291, 21170
